	name	rating	reviews	company_type	Head_Quarters	Company_Age	No_of_Employee
0	TCS	3.9	(44.6k Reviews)	Public	Mumbai,Maharashtra + 258 more	54 years old	1 Lakh+ Employees (India)
1	TCS	3.9	(44.6k Reviews)	Public	Mumbai,Maharashtra + 258 more	54 years old	1 Lakh+ Employees (India)
2	Accenture	4.2	(30.2k Reviews)	Public	Dublin + 140 more	33 years old	1 Lakh+ Employees (India)
3	TCS	3.9	(44.6k Reviews)	Public	Mumbai,Maharashtra + 258 more	54 years old	1 Lakh+ Employees (India)
4	Accenture	4.2	(30.2k Reviews)	Public	Dublin + 140 more	33 years old	1 Lakh+ Employees (India)
5	Cognizant	4.0	(27.2k Reviews)	Private	Teaneck. New Jersey. + 90 more	28 years old	1 Lakh+ Employees (India)
6	TCS	3.9	(44.6k Reviews)	Public	Mumbai,Maharashtra + 258 more	54 years old	1 Lakh+ Employees (India)
7	Accenture	4.2	(30.2k Reviews)	Public	Dublin + 140 more	33 years old	1 Lakh+ Employees (India)
8	Cognizant	4.0	(27.2k Reviews)	Private	Teaneck. New Jersey. + 90 more	28 years old	1 Lakh+ Employees (India)
9	ICICI Bank	4.0	(32.8k Reviews)	Public	Mumbai,Maharashtra + 1025 more	28 years old	1 Lakh+ Employees (India)
10	TCS	3.9	(44.6k Reviews)	Public	Mumbai,Maharashtra + 258 more	54 years old	1 Lakh+ Employees (India)
11	Accenture	4.2	(30.2k Reviews)	Public	Dublin + 140 more	33 years old	1 Lakh+ Employees (India)
12	Cognizant	4.0	(27.2k Reviews)	Private	Teaneck. New Jersey. + 90 more	28 years old	1 Lakh+ Employees (India)
13	ICICI Bank	4.0	(32.8k Reviews)	Public	Mumbai,Maharashtra + 1025 more	28 years old	1 Lakh+ Employees (India)
14	HDFC Bank	4.0	(36.8k Reviews)	Public	Mumbai,Maharashtra + 1173 more	28 years old	1 Lakh+ Employees (India)
15	TCS	3.9	(44.6k Reviews)	Public	Mumbai,Maharashtra + 258 more	54 years old	1 Lakh+ Employees (India)
16	Accenture	4.2	(30.2k Reviews)	Public	Dublin + 140 more	33 years old	1 Lakh+ Employees (India)
17	Cognizant	4.0	(27.2k Reviews)	Private	Teaneck. New Jersey. + 90 more	28 years old	1 Lakh+ Employees (India)
18	ICICI Bank	4.0	(32.8k Reviews)	Public	Mumbai,Maharashtra + 1025 more	28 years old	1 Lakh+ Employees (India)
19	HDFC Bank	4.0	(36.8k Reviews)	Public	Mumbai,Maharashtra + 1173 more	28 years old	1 Lakh+ Employees (India)
20	Infosys	3.9	(26k Reviews)	Public	Bengaluru/Bangalore,Karnataka + 121 more	41 years old	1 Lakh+ Employees (India)
21	TCS	3.9	(44.6k Reviews)	Public	Mumbai,Maharashtra + 258 more	54 years old	1 Lakh+ Employees (India)
22	Accenture	4.2	(30.2k Reviews)	Public	Dublin + 140 more	33 years old	1 Lakh+ Employees (India)
23	Cognizant	4.0	(27.2k Reviews)	Private	Teaneck. New Jersey. + 90 more	28 years old	1 Lakh+ Employees (India)
24	ICICI Bank	4.0	(32.8k Reviews)	Public	Mumbai,Maharashtra + 1025 more	28 years old	1 Lakh+ Employees (India)
25	HDFC Bank	4.0	(36.8k Reviews)	Public	Mumbai,Maharashtra + 1173 more	28 years old	1 Lakh+ Employees (India)
26	Infosys	3.9	(26k Reviews)	Public	Bengaluru/Bangalore,Karnataka + 121 more	41 years old	1 Lakh+ Employees (India)
27	Wipro	3.9	(26.1k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 223 more	77 years old	1 Lakh+ Employees (India)
28	TCS	3.9	(44.6k Reviews)	Public	Mumbai,Maharashtra + 258 more	54 years old	1 Lakh+ Employees (India)
29	Accenture	4.2	(30.2k Reviews)	Public	Dublin + 140 more	33 years old	1 Lakh+ Employees (India)
30	Cognizant	4.0	(27.2k Reviews)	Private	Teaneck. New Jersey. + 90 more	28 years old	1 Lakh+ Employees (India)
31	ICICI Bank	4.0	(32.8k Reviews)	Public	Mumbai,Maharashtra + 1025 more	28 years old	1 Lakh+ Employees (India)
32	HDFC Bank	4.0	(36.8k Reviews)	Public	Mumbai,Maharashtra + 1173 more	28 years old	1 Lakh+ Employees (India)
33	Infosys	3.9	(26k Reviews)	Public	Bengaluru/Bangalore,Karnataka + 121 more	41 years old	1 Lakh+ Employees (India)
34	Wipro	3.9	(26.1k Reviews)	Public	Bangalore/Bengaluru,Karnataka + 223 more	77 years old	1 Lakh+ Employees (India)
35	Capgemini	3.9	(22.1k Reviews)	Public	Paris + 75 more	55 years old	1 Lakh+ Employees (India)
36	TCS	3.9	(44.6k Reviews)	Public	Mumbai,Maharashtra + 258 more	54 years old	1 Lakh+ Employees (India)
37	Accenture	4.2	(30.2k Reviews)	Public	Dublin + 140 more	33 years old	1 Lakh+ Employees (India)
38	Cognizant	4.0	(27.2k Reviews)	Private	Teaneck. New Jersey. + 90 more	28 years old	1 Lakh+ Employees (India)
39	ICICI Bank	4.0	(32.8k Reviews)	Public	Mumbai,Maharashtra + 1025 more	28 years old	1 Lakh+ Employees (India)
