brand, product_name, price, shipping_cost
Gigabyte,GIGABYTE GeForce GT 1030 DirectX 12 GV-N1030OC-2GI 2GB 64-Bit GDDR5 PCI Express x16 Video Card,$88.99 (5 Offers)–,$3.99 Shipping
Gigabyte,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-8GD Rev 2.0 8GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,$199.99 (4 Offers)–,$6.99 Shipping
Msi,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING X 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$499.99 (6 Offers)–,Special Shipping
Msi,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$799.00 –,Free Shipping
Gigabyte,GIGABYTE GeForce RTX 2070 SUPER DirectX 12 GV-N207SWF3-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,$899.99 (2 Offers)–,Free Shipping
Gigabyte,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING OC-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$483.99 (4 Offers)–,Free Shipping
Msi,MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$434.99 (7 Offers)–,Special Shipping
Msi,MSI GeForce GT 1030 DirectX 12 GT 1030 2G LP OC 2GB 64-Bit GDDR5 PCI Express 3.0 x16 (uses x4) HDCP Ready Low Profile Video Card,$82.99 (17 Offers)–,Free Shipping
Asus,ASUS Turbo GeForce RTX 2080 SUPER TURBO-RTX2080S-8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$1,249.99 (2 Offers)–,Free Shipping
Asus,ASUS Radeon RX 580 DirectX 12 DUAL-RX580-O8G 8GB 256-Bit GDDR5 HDCP Ready CrossFireX Support Video Card,$239.99 (4 Offers)–,Free Shipping
,EZDIY-FAB RGB GPU Holder 5V 3-Pin Colorful RGB Graphics Card GPU Support Video Card Holder Bracket- Video Card Sag Holder/Holster Bracket- 309-1,$29.99 –,Free Shipping
,Yeston Radeon RX560D-4G D5 Graphics Card GA Fan Edition- 4G 128bit-GDDR5 PCI-Express 3.0x16 -DVI-D HDMI DP Gaming Graphics Card (RX560D-4G D5),$179.99 –,Free Shipping
,Yeston Radeon RX550-4G D5 TD Graphics Card Fan Edition- 4G 128bit-GDDR5 PCI-Express 3.0x8 -DVI-D HDMI DP Gaming Graphics Card (RX550-4G D5 TD),$169.99 –,Free Shipping
,Yeston Radeon R5 240-4GD3 VA Graphics Card Fan Edition- 4G 128bit-GDDR5 PCI-Express 3.0 -DVI-D HDMI 1.4 DP 1.4 Gaming Graphics Card (R5 240-4GD3 VA),$169.99 –,Free Shipping
Msi,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Gaming X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$399.99 (5 Offers)–,Free Shipping
Evga,EVGA 200 GeForce 210 DirectX 10.1 01G-P3-1312-LR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,$38.84 (19 Offers)–,Free Shipping
Msi,MSI GeForce GT 710 DirectX 12 GT 710 1GD3H LP 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,$34.99 (24 Offers)–,Free Shipping
